"0","question_radio("
"0","  ""1.4  How do the results compare with D'Amato and Lee?"","
"0","  answer(""D'Amato and Lee tend to agree more often""),"
"0","  answer(""D'Amato and Lee agree the same amount""),"
"0","  answer(""D'Amato and Lee tend to agree less often"", correct = TRUE),"
"0","  allow_retry = TRUE,"
"0","  random_answer_order = TRUE"
"0",")"
"1","Question: ""1.4  How do the results compare with D’Amato and Lee?""
  type: ""learnr_radio""
  allow_retry: TRUE
  random_answer_order: TRUE
  answers:
    X: ""D’Amato and Lee tend to agree more often""
    X: ""D’Amato and Lee agree the same amount""
    ✔: ""D’Amato and Lee tend to agree less often""
  messages:
    correct: ""Correct!""
    incorrect: ""Incorrect""
    try_again: ""Incorrect"""
"1"," "
"1","
"
