"0",""
"0","# creating expected values table"
"0","JJ_exp0 <- JJ_table %>%"
"0","  column_to_rownames(var = stu_picks[1]) %>%"
"0","  chisq.test()"
"0",""
"0","JJ_exp <- JJ_exp0$expected %>%"
"0","  as_tibble() %>%"
"0","  mutate(nam = JJ_table[[1]],"
"0","         across(where(is.numeric), round, digits = 2)) %>%"
"0","  rename_with(~ paste0(stu_picks[1]), starts_with(""nam"")) %>% "
"0","  relocate(last_col(), .before = fighter1)"
"0",""
"0","JJ_exp %>%"
"0","  flextable() %>%"
"0","  set_caption(caption = str_c(""Expected Values of "", stu_picks[1], "" and "", stu_picks[2])) %>%"
"0","  add_header_lines(value = stu_picks[2]) %>%"
"0","  align(align = ""center"", part = ""all"") %>%"
"0","  bold(i = 4) %>%"
"0","  bold(j = 5)"
