"0","question_radio("
"0","  ""4.3. After some calculations, we find that D'Amato and Cleary's kappa is 0.84. Using the guidelines demonstrated above, interpret the value."","
"0","  answer(""This value suggests marginal reproducibility""),"
"0","  answer(""This value suggests good reproducibility""),"
"0","  answer(""This value suggests excellent reproducibility"", correct = TRUE),"
"0","  allow_retry = TRUE,"
"0","  random_answer_order = TRUE"
"0",")"
"1","Question: ""4.3. After some calculations, we find that D’Amato and Cleary’s kappa is 0.84. Using the guidelines demonstrated above, interpret the value.""
  type: ""learnr_radio""
  allow_retry: TRUE
  random_answer_order: TRUE
  answers:
    X: ""This value suggests marginal reproducibility""
    X: ""This value suggests good reproducibility""
    ✔: ""This value suggests excellent reproducibility""
  messages:
    correct: ""Correct!""
    incorrect: ""Incorrect""
    try_again: ""Incorrect"""
"1"," "
"1","
"
