"0","# sets a seed for random tibble"
"0","{set.seed(1115)"
"0","# creates a random data set of two fake judges: jimmy and mateo. Their odds to select a winner are random and based on the distribution of the judge's selections."
"0","random <- tibble("
"0","  fight = 1:1000,"
"0","  chance01 = runif(1000),"
"0","  chance02 = runif(1000),"
"0","  Jimmy = case_when(chance01 < .49 ~ ""fighter1"","
"0","                      chance01 < .98 ~ ""fighter2"","
"0","                      .default = ""draw""),"
"0","  Mateo = case_when(chance02 < .49 ~ ""fighter1"","
"0","                      chance02 < .98 ~ ""fighter2"","
"0","                      .default = ""draw"")) %>%"
"0","  mutate("
"0","    Mateo = factor(Mateo, levels = c(""fighter1"", ""draw"", ""fighter2"")),"
"0","    Jimmy = factor(Jimmy, levels = c(""fighter1"", ""draw"", ""fighter2"")),"
"0","    agreement = if_else(Jimmy == Mateo, ""Agree"", ""Disagree"")) %>%"
"0","  select(-chance01, -chance02)"
"0",""
"0","random %>%"
"0","  select(fight, Jimmy, Mateo) %>%"
"0","  slice(1:15) %>%"
"0","  flextable() %>%"
"0","  align(align = ""center"", part = ""all"")"
"0","}"
