"0","  # kable(caption = ""Expected Values of D'Amato and Cleary"") %>%"
"0","  # kable_material(c(""hover"", ""striped"")) %>% "
"0","  # add_header_above(c("" "" = 1, ""Cleary"" = 3, "" "" = 1), align = ""c"") %>%"
"0","  # row_spec(4, bold = T) %>%"
"0","  # column_spec(5, bold = T) %>%"
"0","  # kable_styling(latex_options = ""HOLD_position"")"
"0",""
"0","# calculating proportion of observed agreement"
"0","DC_obs_conc <- DC_table %>% concordance_rate(type = ""value"")"
"0","DC_obs_conc_rate <- DC_table %>% concordance_rate(type = ""prop"")"
"0","DC_obs_conc_perc <- DC_obs_conc_rate %>% percent(accuracy = .01)"
"0",""
"0","# calculating proportion of expected agreement"
"0","DC_exp_conc <- DC_exp %>% concordance_rate(type = ""value"")"
"0","DC_exp_conc_rate <- DC_exp %>% concordance_rate(type = ""prop"")"
"0","DC_exp_conc_perc <- DC_exp_conc_rate %>% percent(accuracy = .01)"
"0",""
"0","# kappa"
"0","kappa_DC <- (DC_obs_conc_rate - DC_exp_conc_rate)/(1 - DC_exp_conc_rate)"
